epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,92.7307,0.19316,1.1336,0.90085,0.93354,0.94296,0.99281,0.99271,0.31604,0.47033,0.53649,0.000554754,0.000554754,0.000554754
2,156.892,0.14646,0.36854,0.86102,0.98874,0.9734,0.994,0.99378,0.23991,0.31415,0.49508,0.00100049,0.00100049,0.00100049
3,226.07,0.13045,0.23869,0.85266,0.94436,0.97697,0.98843,0.88435,0.25946,0.46784,0.47289,0.0013362,0.0013362,0.0013362
4,301.532,0.11181,0.1783,0.84816,0.96351,0.95359,0.97715,0.94528,0.2191,0.43277,0.44351,0.0011719,0.0011719,0.0011719
5,380.792,0.08968,0.13492,0.84032,0.97414,0.99507,0.99379,0.97596,0.18255,0.30873,0.42652,0.00100687,0.00100687,0.00100687
6,449.428,0.07712,0.12039,0.83393,0.99586,0.99822,0.99495,0.98486,0.14973,0.2231,0.41008,0.000841835,0.000841835,0.000841835
7,518.952,0.06383,0.08631,0.82988,0.99465,1,0.995,0.98982,0.15354,0.21668,0.41738,0.000676802,0.000676802,0.000676802
8,583.943,0.05344,0.07112,0.82975,0.99673,0.99657,0.99493,0.96523,0.14503,0.24667,0.41084,0.000511769,0.000511769,0.000511769
9,649.246,0.04372,0.06229,0.82679,0.99084,0.99818,0.99497,0.98615,0.15335,0.23028,0.41677,0.000346736,0.000346736,0.000346736
10,716.194,0.03409,0.04954,0.82843,0.99734,1,0.99498,0.98792,0.15058,0.23307,0.40598,0.000181703,0.000181703,0.000181703
